{'folder': 3, 'file': 357, 'shape': (876, 1024, 3)}
{'folder': 1, 'file': 110, 'shape': (876, 642, 3)}
{'folder': 1, 'file': 313, 'shape': (869, 1024, 3)}
{'folder': 1, 'file': 307, 'shape': (866, 588, 3)}
{'folder': 3, 'file': 132, 'shape': (861, 1280, 3)}
{'folder': 5, 'file': 362, 'shape': (860, 660, 3)}
{'folder': 1, 'file': 126, 'shape': (858, 650, 3)}
{'folder': 1, 'file': 161, 'shape': (858, 517, 3)}
{'folder': 5, 'file': 185, 'shape': (855, 856, 3)}
{'folder': 5, 'file': 189, 'shape': (854, 1280, 3)}
{'folder': 5, 'file': 281, 'shape': (854, 1024, 3)}
{'folder': 5, 'file': 202, 'shape': (853, 1280, 3)}
{'folder': 5, 'file': 232, 'shape': (853, 1280, 3)}
{'folder': 5, 'file': 233, 'shape': (853, 1280, 3)}
{'folder': 5, 'file': 234, 'shape': (853, 1280, 3)}
{'folder': 5, 'file': 135, 'shape': (853, 1024, 3)}
{'folder': 1, 'file': 263, 'shape': (850, 1024, 3)}
{'folder': 1, 'file': 177, 'shape': (849, 1024, 3)}
{'folder': 1, 'file': 56, 'shape': (844, 751, 3)}
{'folder': 5, 'file': 306, 'shape': (830, 1024, 3)}
{'folder': 1, 'file': 274, 'shape': (822, 1024, 3)}
{'folder': 1, 'file': 143, 'shape': (821, 966, 3)}
{'folder': 1, 'file': 197, 'shape': (814, 1024, 3)}
{'folder': 1, 'file': 184, 'shape': (802, 546, 3)}
{'folder': 5, 'file': 342, 'shape': (800, 1024, 3)}
{'folder': 5, 'file': 360, 'shape': (800, 1024, 3)}
{'folder': 2, 'file': 25, 'shape': (800, 600, 3)}
{'folder': 5, 'file': 155, 'shape': (800, 533, 3)}
{'folder': 5, 'file': 157, 'shape': (798, 1200, 3)}
{'folder': 5, 'file': 158, 'shape': (798, 1200, 3)}
{'folder': 5, 'file': 42, 'shape': (796, 1024, 3)}
{'folder': 5, 'file': 305, 'shape': (781, 1024, 3)}
{'folder': 5, 'file': 254, 'shape': (780, 1024, 3)}
{'folder': 5, 'file': 221, 'shape': (778, 1024, 3)}
{'folder': 5, 'file': 332, 'shape': (776, 1024, 3)}
{'folder': 5, 'file': 241, 'shape': (775, 1024, 3)}
{'folder': 1, 'file': 315, 'shape': (775, 928, 3)}
{'folder': 3, 'file': 198, 'shape': (774, 1024, 3)}
{'folder': 5, 'file': 36, 'shape': (773, 1024, 3)}
{'folder': 3, 'file': 150, 'shape': (772, 512, 3)}
{'folder': 5, 'file': 299, 'shape': (771, 1024, 3)}
{'folder': 3, 'file': 220, 'shape': (769, 1024, 3)}
{'folder': 5, 'file': 65, 'shape': (769, 1024, 3)}
{'folder': 5, 'file': 326, 'shape': (769, 1024, 3)}
{'folder': 1, 'file': 4, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 9, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 12, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 18, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 19, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 26, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 27, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 33, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 35, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 49, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 55, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 59, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 61, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 64, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 65, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 71, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 72, 'shape': (768, 1024, 3)}
{'folder': 1, 'file': 73, 'shape': (768, 1024, 3)}
